step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q__c1,Q__c2,Q__f1,Q__f2,S__c1,S__c2,S__f1,S__f2,absmu_median__c1,absmu_median__c2,absmu_median__f1,absmu_median__f2,absmu_q25__c1,absmu_q25__c2,absmu_q25__f1,absmu_q25__f2,absmu_q75__c1,absmu_q75__c2,absmu_q75__f1,absmu_q75__f2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.10621187090873718,0.0,0.0,0.0,0.21245542168617249,0.0,0.0,0.22609594464302063,0.0,0.0,0.0,0.0,0.20095974206924438,0.0,0.0,0.0,0.19400934875011444,0.0,0.0,0.060267724096775055,0.2302527278661728,0.0,0.0,0.0,0.32493770122528076,0.0,0.0,0.20876486599445343,0.0,0.0,0.0,0.0,0.12422866374254227,0.0,0.0,0.0,0.07694454491138458,0.0,0.0,0.034871503710746765,0.23461538553237915,0.22371257841587067,0.18568290770053864,0.5590817928314209,0.5551872849464417,0.5090587735176086,0.3289673626422882,0.6834643483161926,0.00015966650971677154,9.240930376108736e-05,1.4133669537841342e-05,9.411526116309687e-05,6.029708310961723e-05,3.60466365236789e-05,1.9160615920554847e-06,1.1041413017665036e-05,0.00027759725344367325,0.0001824377104640007,4.678088953369297e-05,0.00029913787147961557,0.1922914683818817,0.4552195072174072,0.22673910856246948,-0.01712539978325367,-0.17382505536079407,2.5855307579040527,0.18125903606414795,0.1849956214427948,0.17849205434322357,0.1899312287569046,0.12191413342952728,0.17378732562065125,0.15041013062000275,0.23600120842456818,0.2337094098329544,0.22105538845062256,0.18651163578033447
1,0.1132870465517044,0.0,0.0,0.0,0.21376283466815948,0.0,0.0,0.2213551551103592,0.0,0.0,0.0,0.0,0.18299220502376556,0.0,0.0,0.0,0.21264363825321198,0.0,0.0,0.055959079414606094,0.21773095428943634,0.0,0.0,0.0,0.31595537066459656,0.0,0.0,0.1983605921268463,0.0,0.0,0.0,0.0,0.12984086573123932,0.0,0.0,0.0,0.09275055676698685,0.0,0.0,0.04536164551973343,0.20769231021404266,0.221996009349823,0.22143571078777313,0.6105788350105286,0.5399600863456726,0.48029348254203796,0.32462701201438904,0.7209261059761047,0.0002757711336016655,0.00017235890845768154,2.6182548026554286e-05,0.0001776598219294101,0.0001305250625591725,6.821920396760106e-05,3.438680096223834e-06,2.0658724679378793e-05,0.0005012461333535612,0.0003402530855964869,8.742042700760067e-05,0.0005553830997087061,0.22597430646419525,0.4515799582004547,0.22381120920181274,-0.020314956083893776,-0.21860341727733612,2.558454990386963,0.16575171053409576,0.40662166476249695,0.3317601978778839,0.3652965724468231,0.2642514109611511,0.31262755393981934,0.2802387475967407,0.4284866154193878,0.3735623359680176,0.4584628939628601,0.36967140436172485
2,0.1063537448644638,0.0,0.0,0.0,0.20727922022342682,0.0,0.0,0.21421049535274506,0.0,0.0,0.0,0.0,0.18649959564208984,0.0,0.0,0.0,0.20866429805755615,0.0,0.0,0.07699263095855713,0.21183890104293823,0.0,0.0,0.0,0.3014868497848511,0.0,0.0,0.19651252031326294,0.0,0.0,0.0,0.0,0.13609559834003448,0.0,0.0,0.0,0.09351994842290878,0.0,0.0,0.06054617092013359,0.2557692229747772,0.23005987703800201,0.24606741964817047,0.6618762016296387,0.6072841286659241,0.4992392659187317,0.3450908064842224,0.746719479560852,0.00038646606844849885,0.0002459529787302017,3.681968155433424e-05,0.000254061131272465,0.00016853667329996824,9.814875375013798e-05,4.772477041115053e-06,2.9887909477110952e-05,0.0006857372354716063,0.0004870605480391532,0.00012246757978573442,0.0007780066225677729,0.24998144805431366,0.472146213054657,0.18218441307544708,-0.018543599173426628,-0.16880634427070618,2.4598326683044434,0.1240459457039833,0.526609480381012,0.4295664429664612,0.4902900159358978,0.4091976284980774,0.44872552156448364,0.43268972635269165,0.588935136795044,0.5122523307800293,0.5911077260971069,0.5206061005592346
3,0.09258367866277695,0.0,0.0,0.0,0.195867121219635,0.0,0.0,0.21408823132514954,0.0,0.0,0.0,0.0,0.18509025871753693,0.0,0.0,0.0,0.23070606589317322,0.0,0.0,0.08166463673114777,0.201359823346138,0.0,0.0,0.0,0.3007894456386566,0.0,0.0,0.19333182275295258,0.0,0.0,0.0,0.0,0.13401012122631073,0.0,0.0,0.0,0.10401666909456253,0.0,0.0,0.06649212539196014,0.2769230902194977,0.2445109784603119,0.2603920102119446,0.6846306920051575,0.6265158653259277,0.5379440188407898,0.35894864797592163,0.7839592099189758,0.00044492678716778755,0.00030839635292068124,4.589309173752554e-05,0.0003171139396727085,0.00019608512229751796,0.0001225715532200411,5.902142220293172e-06,3.692961763590574e-05,0.000832226243801415,0.0006086609791964293,0.000152814740431495,0.0009758068481460214,0.2644196152687073,0.4974530339241028,0.24648438394069672,-0.014112926088273525,-0.17175424098968506,2.4435534477233887,0.10184431821107864,0.6762976050376892,0.5296635627746582,0.5846213698387146,0.5617529153823853,0.5157349109649658,0.5603430271148682,0.6897974610328674,0.6490294337272644,0.6810512542724609,0.624651312828064
4,0.086158886551857,0.0,0.0,0.0,0.20241156220436096,0.0,0.0,0.21000885963439941,0.0,0.0,0.0,0.0,0.18610435724258423,0.0,0.0,0.0,0.23782490193843842,0.0,0.0,0.07749142497777939,0.19730977714061737,0.0,0.0,0.0,0.3027868866920471,0.0,0.0,0.18971951305866241,0.0,0.0,0.0,0.0,0.13429945707321167,0.0,0.0,0.0,0.10689665377140045,0.0,0.0,0.06898771226406097,0.2846153974533081,0.24842315912246704,0.26776280999183655,0.7009980082511902,0.657380998134613,0.5380297899246216,0.3579522371292114,0.7995316982269287,0.0005485524889081717,0.00036137716961093247,5.446222348837182e-05,0.00037221109960228205,0.0002683795755729079,0.0001433974684914574,7.047231974866008e-06,4.582003384712152e-05,0.0010150300804525614,0.0007125309202820063,0.00017989613115787506,0.0011600558646023273,0.2716943621635437,0.5014128684997559,0.2388211190700531,-0.014241008087992668,-0.1192617267370224,2.4463162422180176,0.09327249228954315,0.7818623781204224,0.5933464169502258,0.6792840361595154,0.6932844519615173,0.630579948425293,0.6780263781547546,0.8058624863624573,0.7591214776039124,0.7777442932128906,0.7418389320373535
5,0.09296377003192902,0.0,0.0,0.0,0.20224197208881378,0.0,0.0,0.2075493037700653,0.0,0.0,0.0,0.0,0.19633762538433075,0.0,0.0,0.0,0.22833286225795746,0.0,0.0,0.07257446646690369,0.19827018678188324,0.0,0.0,0.0,0.30247876048088074,0.0,0.0,0.18919876217842102,0.0,0.0,0.0,0.0,0.13533422350883484,0.0,0.0,0.0,0.10517134517431259,0.0,0.0,0.06954671442508698,0.29423075914382935,0.24279440939426422,0.2705768048763275,0.7165668606758118,0.7185710072517395,0.5273674726486206,0.3473207950592041,0.8110616207122803,0.0006486976053565741,0.0004011500859633088,6.213699816726148e-05,0.00044201058335602283,0.00031061528716236353,0.0001586589205544442,8.221134521591011e-06,5.1363211241550744e-05,0.0012694118777289987,0.0007944444660097361,0.00020419132488314062,0.00132359704002738,0.27417418360710144,0.4972357153892517,0.22879108786582947,-0.016469666734337807,-0.11777161061763763,2.4851415157318115,0.0967295840382576,0.9171155095100403,0.6798218488693237,0.7806441187858582,0.815658688545227,0.7382369637489319,0.7303670048713684,0.8728131651878357,0.8676329255104065,0.9261170625686646,0.8508490920066833
6,0.0937412902712822,0.0,0.0,0.0,0.2016700953245163,0.0,0.0,0.20725813508033752,0.0,0.0,0.0,0.0,0.19561541080474854,0.0,0.0,0.0,0.22769373655319214,0.0,0.0,0.0740213692188263,0.20143993198871613,0.0,0.0,0.0,0.2961397171020508,0.0,0.0,0.18771381676197052,0.0,0.0,0.0,0.0,0.13534840941429138,0.0,0.0,0.0,0.10558412969112396,0.0,0.0,0.07377398014068604,0.3115384578704834,0.24447105824947357,0.27626967430114746,0.7319360971450806,0.7086818814277649,0.5344576239585876,0.33225783705711365,0.8296161890029907,0.0007305514300242066,0.000431767082773149,6.919092265889049e-05,0.0004883210058324039,0.00032375589944422245,0.00016926710668485612,9.12890573090408e-06,6.063956971047446e-05,0.0015883554005995393,0.0008637061109766364,0.00022566979168914258,0.0014717353042215109,0.2797601521015167,0.49732425808906555,0.1961493194103241,-0.017503786832094193,-0.11871535331010818,2.493347644805908,0.10663161426782608,1.0460220575332642,0.7429995536804199,0.8588149547576904,0.9038341045379639,0.8146292567253113,0.8011732697486877,0.9592176079750061,0.9512118101119995,1.0162029266357422,1.003371000289917
7,0.09782080352306366,0.0,0.0,0.0,0.21269360184669495,0.0,0.0,0.21147651970386505,0.0,0.0,0.0,0.0,0.1880556046962738,0.0,0.0,0.0,0.22164644300937653,0.0,0.0,0.06830710917711258,0.20249509811401367,0.0,0.0,0.0,0.3042948246002197,0.0,0.0,0.18483033776283264,0.0,0.0,0.0,0.0,0.13395646214485168,0.0,0.0,0.0,0.10200241953134537,0.0,0.0,0.07242083549499512,0.35576921701431274,0.2349700629711151,0.27189263701438904,0.7407185435295105,0.7813037037849426,0.517853856086731,0.2945406436920166,0.8206650614738464,0.0009294635383412242,0.0004534985637292266,7.550884038209915e-05,0.0005309879197739065,0.0003874666872434318,0.00017825703253038228,1.0108072274306323e-05,6.595188460778445e-05,0.001909030950628221,0.0009180773631669581,0.00024352414766326547,0.0016202784609049559,0.2752969264984131,0.4780013859272003,0.23260003328323364,-0.023137802258133888,-0.11805805563926697,2.54811954498291,0.10758484899997711,1.1451352834701538,0.8367302417755127,0.9283981919288635,1.0103566646575928,0.8933870792388916,0.9286069869995117,1.0615442991256714,1.0507895946502686,1.1444804668426514,1.1590380668640137
8,0.09797891229391098,0.0,0.0,0.0,0.21363870799541473,0.0,0.0,0.21449358761310577,0.0,0.0,0.0,0.0,0.18781499564647675,0.0,0.0,0.0,0.21392513811588287,0.0,0.0,0.07214865833520889,0.20337794721126556,0.0,0.0,0.0,0.30213043093681335,0.0,0.0,0.1844555288553238,0.0,0.0,0.0,0.0,0.13039329648017883,0.0,0.0,0.0,0.10351863503456116,0.0,0.0,0.0761241763830185,0.4115384519100189,0.22794410586357117,0.27526092529296875,0.742514967918396,0.8622193932533264,0.5052077770233154,0.2834518253803253,0.8119811415672302,0.001127553405240178,0.0004782158066518605,8.21920984890312e-05,0.0005812030285596848,0.000489106634631753,0.0001891430001705885,1.087318014469929e-05,7.035466842353344e-05,0.0023050166200846434,0.0009780081454664469,0.00026329653337597847,0.001782541978172958,0.278106153011322,0.4738827347755432,0.21991313993930817,-0.022948475554585457,-0.13175521790981293,2.5551626682281494,0.10010255128145218,1.23616623878479,0.9074088931083679,1.0310933589935303,1.092732310295105,0.9555593729019165,1.0112903118133545,1.1822680234909058,1.1423836946487427,1.225642204284668,1.1845391988754272
9,0.09909592568874359,0.0,0.0,0.0,0.220858633518219,0.0,0.0,0.2068134993314743,0.0,0.0,0.0,0.0,0.18427732586860657,0.0,0.0,0.0,0.2126462161540985,0.0,0.0,0.0763084664940834,0.20440199971199036,0.0,0.0,0.0,0.30446985363960266,0.0,0.0,0.18188899755477905,0.0,0.0,0.0,0.0,0.12882041931152344,0.0,0.0,0.0,0.10218294709920883,0.0,0.0,0.07823579013347626,0.44999998807907104,0.22898203134536743,0.27511611580848694,0.7453093528747559,0.8750708103179932,0.4983614683151245,0.2770337760448456,0.8019699454307556,0.0014058561064302921,0.000511215184815228,8.823631651466712e-05,0.0006087930523790419,0.0006064591580070555,0.0001972625614143908,1.1656584320007823e-05,8.308448741445318e-05,0.0028317179530858994,0.001044692238792777,0.0002820327063091099,0.0019019877072423697,0.2781108021736145,0.4732248783111572,0.23325017094612122,-0.022821631282567978,-0.14684805274009705,2.5549538135528564,0.0950833335518837,1.3208131790161133,0.9934906363487244,1.1364868879318237,1.1893740892410278,1.048323392868042,1.099401831626892,1.2480729818344116,1.1961088180541992,1.3682183027267456,1.2630032300949097
