step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q__c1,Q__c2,Q__f1,Q__f2,S__c1,S__c2,S__f1,S__f2,absmu_median__c1,absmu_median__c2,absmu_median__f1,absmu_median__f2,absmu_q25__c1,absmu_q25__c2,absmu_q25__f1,absmu_q25__f2,absmu_q75__c1,absmu_q75__c2,absmu_q75__f1,absmu_q75__f2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.22425328195095062,0.0,0.0,0.0,0.3334171175956726,0.0,0.0,0.19131237268447876,0.0,0.0,0.0,0.0,0.10226248949766159,0.0,0.0,0.0,0.14540867507457733,0.0,0.0,0.003346096957102418,0.3379906117916107,0.0,0.0,0.0,0.4269939064979553,0.0,0.0,0.16025188565254211,0.0,0.0,0.0,0.0,0.05144781619310379,0.0,0.0,0.0,0.020360099151730537,0.0,0.0,0.002955688163638115,0.05384615436196327,0.07357285171747208,0.05034956336021423,0.6706586480140686,0.14109323918819427,0.1658887416124344,0.06555482000112534,0.8529302477836609,0.00013677490642294288,9.153112478088588e-05,1.346076351183001e-05,9.284940460929647e-05,6.111070979386568e-05,3.6208759411238134e-05,1.6702989569239435e-06,1.2060647350153886e-05,0.0002618436119519174,0.00017945736180990934,4.551768506644294e-05,0.00028522202046588063,0.058912500739097595,0.2509995996952057,0.07102446258068085,-0.08553784340620041,-0.21404863893985748,4.399355888366699,0.09544780105352402,0.36384743452072144,0.30079731345176697,0.3541257381439209,0.30652350187301636,0.3153226971626282,0.3638644814491272,0.36824461817741394,0.3272111415863037,0.4139597415924072,0.3645556569099426
1,0.21033214032649994,0.0,0.0,0.0,0.3304566740989685,0.0,0.0,0.18964780867099762,0.0,0.0,0.0,0.0,0.10789426416158676,0.0,0.0,0.0,0.15811169147491455,0.0,0.0,0.003557460615411401,0.3257165253162384,0.0,0.0,0.0,0.40712258219718933,0.0,0.0,0.16724902391433716,0.0,0.0,0.0,0.0,0.06533969193696976,0.0,0.0,0.0,0.029939433559775352,0.0,0.0,0.004632750991731882,0.057692307978868484,0.08039920032024384,0.0750761553645134,0.7189620733261108,0.12945818901062012,0.1820172369480133,0.09008549898862839,0.8583180904388428,0.00024771789321675897,0.00017347082030028105,2.5157516574836336e-05,0.0001750733208609745,9.394741209689528e-05,6.854713137727231e-05,3.064766133320518e-06,2.2721929781255312e-05,0.0004958617500960827,0.0003400504938326776,8.523918950231746e-05,0.0005412275204434991,0.08284773677587509,0.26954832673072815,0.11977352201938629,-0.08405216783285141,-0.17572765052318573,4.265695095062256,0.0930258259177208,0.6880232095718384,0.5534384250640869,0.6112228035926819,0.6021834015846252,0.5925382375717163,0.6502623558044434,0.7055294513702393,0.6056175231933594,0.7573740482330322,0.6927312612533569
2,0.20670509338378906,0.0,0.0,0.0,0.331521213054657,0.0,0.0,0.18266451358795166,0.0,0.0,0.0,0.0,0.11297439783811569,0.0,0.0,0.0,0.1621144711971283,0.0,0.0,0.0040202694945037365,0.31162136793136597,0.0,0.0,0.0,0.4032500982284546,0.0,0.0,0.16663746535778046,0.0,0.0,0.0,0.0,0.07584906369447708,0.0,0.0,0.0,0.03498894348740578,0.0,0.0,0.0076530613005161285,0.06730769574642181,0.07948103547096252,0.09374032914638519,0.742714524269104,0.1660880744457245,0.18393170833587646,0.10565479844808578,0.861635148525238,0.00035833200672641397,0.0002462950360495597,3.575367372832261e-05,0.0002542997244745493,0.00014996869140304625,9.827024769037962e-05,4.510714006755734e-06,3.142193236271851e-05,0.0007103195530362427,0.0004797436995431781,0.00011996901594102383,0.0007723828894086182,0.100422203540802,0.27909398078918457,0.09101537615060806,-0.08414167165756226,-0.17521925270557404,4.273622512817383,0.09287349134683609,0.9667307734489441,0.7593778371810913,0.8840697407722473,0.8450691103935242,0.8402864336967468,0.9272199273109436,0.9968317151069641,0.8497605919837952,1.0570420026779175,0.9599132537841797
3,0.20943523943424225,0.0,0.0,0.0,0.33208319544792175,0.0,0.0,0.18725024163722992,0.0,0.0,0.0,0.0,0.10593281686306,0.0,0.0,0.0,0.1604764312505722,0.0,0.0,0.004822139628231525,0.31360265612602234,0.0,0.0,0.0,0.39477768540382385,0.0,0.0,0.16890311241149902,0.0,0.0,0.0,0.0,0.07404850423336029,0.0,0.0,0.0,0.0379239022731781,0.0,0.0,0.010744154453277588,0.06538461893796921,0.08239521086215973,0.09806741774082184,0.7536925673484802,0.1388992816209793,0.19490230083465576,0.08359725028276443,0.8586599826812744,0.00045239218161441386,0.0003070216625928879,4.5422711991705e-05,0.000324819004163146,0.00020133925136178732,0.00012242257071193308,5.734277692681644e-06,3.8159036193974316e-05,0.0008117835968732834,0.0006077881553210318,0.00015203579096123576,0.0010075669270008802,0.10473694652318954,0.27121543884277344,0.0907416120171547,-0.08422612398862839,-0.16213658452033997,4.293262958526611,0.08071819692850113,1.2426141500473022,1.0048751831054688,1.106697678565979,1.0979559421539307,1.0478408336639404,1.1351027488708496,1.2538217306137085,1.083278775215149,1.2929893732070923,1.2238727807998657
4,0.2080954760313034,0.0,0.0,0.0,0.34015098214149475,0.0,0.0,0.18623080849647522,0.0,0.0,0.0,0.0,0.1038007065653801,0.0,0.0,0.0,0.1577346920967102,0.0,0.0,0.003987371455878019,0.31142503023147583,0.0,0.0,0.0,0.4033108353614807,0.0,0.0,0.1657063513994217,0.0,0.0,0.0,0.0,0.07384742796421051,0.0,0.0,0.0,0.034154366701841354,0.0,0.0,0.011555968783795834,0.07115384936332703,0.08067864179611206,0.09631460905075073,0.7654690146446228,0.16675589978694916,0.19613689184188843,0.06888323277235031,0.8521152138710022,0.0005780468927696347,0.0003580321208573878,5.359663919080049e-05,0.0003924447810277343,0.00025218489463441074,0.00014219469449017197,6.860485882498324e-06,4.486418401938863e-05,0.0009779802057892084,0.0007098179776221514,0.0001795016578398645,0.0011861576931551099,0.1031525507569313,0.2655094563961029,0.08886131644248962,-0.08453688025474548,-0.16061340272426605,4.3494367599487305,0.07976613193750381,1.4455660581588745,1.20684015750885,1.332573652267456,1.2900577783584595,1.260979413986206,1.357628345489502,1.4833306074142456,1.2536580562591553,1.5564485788345337,1.4434239864349365
5,0.21764422953128815,0.0,0.0,0.0,0.34467142820358276,0.0,0.0,0.17604926228523254,0.0,0.0,0.0,0.0,0.10295270383358002,0.0,0.0,0.0,0.15483619272708893,0.0,0.0,0.0038461540825664997,0.3108624517917633,0.0,0.0,0.0,0.40165841579437256,0.0,0.0,0.16382208466529846,0.0,0.0,0.0,0.0,0.07483409345149994,0.0,0.0,0.0,0.03749716281890869,0.0,0.0,0.011325793340802193,0.09038461744785309,0.07668662816286087,0.10104869306087494,0.7716566920280457,0.25475889444351196,0.182667076587677,0.06076965481042862,0.85468590259552,0.0006726792780682445,0.000402313016820699,6.173971632961184e-05,0.0004502207739278674,0.00031377901905216277,0.00015776859072502702,8.208715371438302e-06,5.217511716182344e-05,0.0012498004361987114,0.000799151137471199,0.00020473965560086071,0.001368059078231454,0.10741394013166428,0.26162031292915344,0.06495624780654907,-0.08461757004261017,-0.17238053679466248,4.3820414543151855,0.07684718072414398,1.632530689239502,1.345515251159668,1.531402587890625,1.487326979637146,1.4987736940383911,1.4924254417419434,1.6240144968032837,1.4751073122024536,1.7755234241485596,1.700498104095459
6,0.2279679775238037,0.0,0.0,0.0,0.34515151381492615,0.0,0.0,0.16691669821739197,0.0,0.0,0.0,0.0,0.09815497696399689,0.0,0.0,0.0,0.158354252576828,0.0,0.0,0.0034545103553682566,0.3126181364059448,0.0,0.0,0.0,0.3973904848098755,0.0,0.0,0.1594730168581009,0.0,0.0,0.0,0.0,0.07746747136116028,0.0,0.0,0.0,0.04058576375246048,0.0,0.0,0.012465117499232292,0.0942307710647583,0.07512973994016647,0.10856430232524872,0.7754490971565247,0.26029056310653687,0.18279309570789337,0.05712226778268814,0.8492255210876465,0.0007905644597485662,0.00042909561307169497,6.88792861183174e-05,0.0004960235091857612,0.0003410371136851609,0.00017065461724996567,9.1526162577793e-06,6.12090079812333e-05,0.0015658763004466891,0.000861747597809881,0.00022550509311258793,0.0015018887352198362,0.11435464769601822,0.2599509656429291,0.06977201253175735,-0.08471301198005676,-0.17039906978607178,4.391934871673584,0.08377306163311005,1.8174259662628174,1.47681725025177,1.6691114902496338,1.6472560167312622,1.6082518100738525,1.6528005599975586,1.818888545036316,1.6175144910812378,1.9593294858932495,1.9098581075668335
7,0.23763273656368256,0.0,0.0,0.0,0.3312660753726959,0.0,0.0,0.17015133798122406,0.0,0.0,0.0,0.0,0.09494021534919739,0.0,0.0,0.0,0.16187243163585663,0.0,0.0,0.004137199372053146,0.31612467765808105,0.0,0.0,0.0,0.39562687277793884,0.0,0.0,0.162767231464386,0.0,0.0,0.0,0.0,0.07154432684183121,0.0,0.0,0.0,0.04034529626369476,0.0,0.0,0.013591603375971317,0.11538461595773697,0.07113772630691528,0.10444445163011551,0.7880239486694336,0.31238970160484314,0.17741329967975616,0.05208621546626091,0.8569782376289368,0.0009387050522491336,0.00045609771041199565,7.585963612655178e-05,0.0005462670233100653,0.00041065289406105876,0.00017920955724548548,1.0333944373996928e-05,6.698446668451652e-05,0.0018824744038283825,0.0009168072137981653,0.00024431225028820336,0.0016359686851501465,0.11046674102544785,0.2609367072582245,0.06096609681844711,-0.08590811491012573,-0.1691531240940094,4.472132682800293,0.08266528695821762,2.061452865600586,1.6464658975601196,1.8049254417419434,1.8496791124343872,1.7629046440124512,1.8413140773773193,1.9640370607376099,1.8202472925186157,2.1551225185394287,2.1183626651763916
8,0.237685427069664,0.0,0.0,0.0,0.33215951919555664,0.0,0.0,0.16871532797813416,0.0,0.0,0.0,0.0,0.09587439894676208,0.0,0.0,0.0,0.1614072620868683,0.0,0.0,0.00415811175480485,0.31876444816589355,0.0,0.0,0.0,0.3988302946090698,0.0,0.0,0.15690551698207855,0.0,0.0,0.0,0.0,0.07104887813329697,0.0,0.0,0.0,0.04030460864305496,0.0,0.0,0.014146250672638416,0.1538461595773697,0.06914171576499939,0.10489638149738312,0.7956087589263916,0.4153188467025757,0.16543079912662506,0.05000683665275574,0.8518921136856079,0.0011456089559942484,0.0004758383729495108,8.188134233932942e-05,0.0005832033348269761,0.0004948367131873965,0.00018862994329538196,1.121286186389625e-05,7.38003509468399e-05,0.00226798839867115,0.0009667233098298311,0.00026166089810431004,0.0017694579437375069,0.11090517044067383,0.2614280879497528,0.05751936510205269,-0.08658464252948761,-0.15977971255779266,4.563276767730713,0.08309610188007355,2.2450640201568604,1.7972511053085327,1.9767342805862427,2.0172793865203857,1.902596354484558,2.0296437740325928,2.142378568649292,1.9513587951660156,2.345078229904175,2.3046875
9,0.23373553156852722,0.0,0.0,0.0,0.3299887180328369,0.0,0.0,0.16764140129089355,0.0,0.0,0.0,0.0,0.10444433242082596,0.0,0.0,0.0,0.15882767736911774,0.0,0.0,0.005362299736589193,0.31485605239868164,0.0,0.0,0.0,0.40254417061805725,0.0,0.0,0.15402209758758545,0.0,0.0,0.0,0.0,0.07276376336812973,0.0,0.0,0.0,0.040947120636701584,0.0,0.0,0.014866785146296024,0.20384615659713745,0.07025948166847229,0.1079600527882576,0.8041915893554688,0.464688777923584,0.1593874990940094,0.05311719328165054,0.8572172522544861,0.0014470352325588465,0.00050526880659163,8.853605686454102e-05,0.0006255715852603316,0.0005679130554199219,0.00019670402980409563,1.2092027645849157e-05,8.11256977613084e-05,0.0028264042921364307,0.001035565510392189,0.0002812469028867781,0.0019020196050405502,0.11397653073072433,0.26862064003944397,0.06273948401212692,-0.08647896349430084,-0.17436490952968597,4.604628086090088,0.08332012593746185,2.445496082305908,1.9499930143356323,2.135972738265991,2.2504258155822754,2.0199358463287354,2.1822948455810547,2.303232192993164,2.0754411220550537,2.544767379760742,2.423539400100708
10,0.23591093719005585,0.0,0.0,0.0,0.317297101020813,0.0,0.0,0.17400051653385162,0.0,0.0,0.0,0.0,0.10286051034927368,0.0,0.0,0.0,0.16321176290512085,0.0,0.0,0.006719119846820831,0.3174285292625427,0.0,0.0,0.0,0.39880675077438354,0.0,0.0,0.15668338537216187,0.0,0.0,0.0,0.0,0.07011529058218002,0.0,0.0,0.0,0.04264964535832405,0.0,0.0,0.014316420070827007,0.24038460850715637,0.06678643077611923,0.1071360856294632,0.8125748038291931,0.5912081003189087,0.1484309285879135,0.04951181635260582,0.8566290736198425,0.001734844408929348,0.0005362413357943296,9.440278518013656e-05,0.000673658330924809,0.0007073698798194528,0.0002038883394561708,1.2589545804075897e-05,8.56752521940507e-05,0.0034318759571760893,0.0011144870659336448,0.000300005980534479,0.002055893186479807,0.1131506934762001,0.2727799713611603,0.05853729695081711,-0.08643876761198044,-0.17766954004764557,4.6768107414245605,0.08287270367145538,2.6058990955352783,2.1028733253479004,2.3392574787139893,2.415828227996826,2.2063162326812744,2.3785550594329834,2.532780170440674,2.2075955867767334,2.7698252201080322,2.598078966140747
11,0.22744153439998627,0.0,0.0,0.0,0.3164178431034088,0.0,0.0,0.17338769137859344,0.0,0.0,0.0,0.0,0.11042652279138565,0.0,0.0,0.0,0.16214270889759064,0.0,0.0,0.01018370408564806,0.31797873973846436,0.0,0.0,0.0,0.3954746723175049,0.0,0.0,0.15468274056911469,0.0,0.0,0.0,0.0,0.07205159962177277,0.0,0.0,0.0,0.045170240104198456,0.0,0.0,0.014642015099525452,0.2884615361690521,0.06754490733146667,0.11194757372140884,0.8161676526069641,0.6658084392547607,0.15607891976833344,0.05002875253558159,0.8545651435852051,0.0020621330477297306,0.0005750085692852736,0.00010113761527463794,0.0007298766286112368,0.0008605726761743426,0.00021831138292327523,1.3355166629480664e-05,9.30574897211045e-05,0.00416377792134881,0.0012225406244397163,0.000323334097629413,0.002211296930909157,0.11776468902826309,0.2827402651309967,0.06067265570163727,-0.0856458768248558,-0.1875211000442505,4.6415114402771,0.07947328686714172,2.85982346534729,2.323909282684326,2.5058352947235107,2.6213762760162354,2.3628318309783936,2.4788784980773926,2.7290427684783936,2.3970744609832764,2.9449462890625,2.760197639465332
