step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,9.503483772277832,5.347756385803223,6.479475021362305,9.51694393157959,12.677186965942383,9.4287093010948,0.07958200573921204,0.9977441430091858,0.9993554353713989,0.9997069239616394,0.995851993560791,0.9995999932289124,0.00013222885900177062,8.900149259716272e-05,1.3371943168749567e-05,9.146910451818258e-05,0.03628827631473541,-0.0984869971871376,-0.1659812033176422,9.503483772277832,5.347756385803223,6.479475498199463,9.516944885253906,12.677186012268066,9.428709308753149,0.07958205044269562,0.9977442026138306,0.9993554353713989,0.9997069835662842,0.9958520531654358,0.9995998740196228,0.0013222892303019762,0.0008900149841792881,0.00013371945533435792,0.0009146928787231445,0.03628827631473541,-0.098486989736557,-0.1659812033176422,5.346772193908691,4.291892051696777,4.916629791259766,4.9830474853515625,4.713150978088379,4.707265853881836,5.376100540161133,4.734594345092773,5.737005710601807,5.17365026473999,4.998011112213135,4.986284255981445,0.5346772074699402,0.42918920516967773,0.49166297912597656,0.4983047544956207,0.4713151156902313,0.4707266092300415,0.5376101136207581,0.473459392786026,0.5737005472183228,0.517365038394928,0.49980106949806213,0.4986284375190735
1,9.464166641235352,5.431195259094238,6.415197372436523,9.483559608459473,12.693726539611816,9.37262715936799,0.08267848193645477,0.9981226325035095,0.9996148943901062,0.9996039271354675,0.996590256690979,0.9997441172599792,0.0002550533099565655,0.00017327013483736664,2.5182011086144485e-05,0.00017849169671535492,0.051073312759399414,-0.09830696880817413,-0.1685129702091217,9.288369178771973,5.403703212738037,6.260036468505859,9.319842338562012,12.553816795349121,9.204997957608834,0.08842328190803528,0.9968169927597046,0.9991241693496704,0.9997659921646118,0.9939995408058167,0.9994285106658936,0.001469298149459064,0.0009444394963793457,0.00013588315050583333,0.0009522131877020001,0.06453680247068405,-0.09778029471635818,-0.17027081549167633,5.399857044219971,4.299325466156006,4.523625373840332,4.782490253448486,4.542733192443848,4.938407897949219,5.430759906768799,4.7728962898254395,5.715846061706543,5.228094577789307,4.963403701782227,4.9541401863098145,1.0203416347503662,0.8157037496566772,0.8934231400489807,0.9257605671882629,0.877708375453949,0.9163329601287842,1.0260952711105347,0.9025941491127014,1.0868085622787476,0.987637460231781,0.9452406167984009,0.9432151913642883
2,9.421802520751953,5.590606689453125,6.407889366149902,9.438077926635742,12.539134979248047,9.378532628544676,0.08598928153514862,0.9987085461616516,0.999264657497406,0.9995850324630737,0.9977478981018066,0.999812126159668,0.0003747814043890685,0.0002478938258718699,3.607391772675328e-05,0.0002574997197370976,0.05714670941233635,-0.09841006994247437,-0.17082753777503967,9.171379089355469,5.739167213439941,6.274681568145752,9.183197975158691,12.099695205688477,9.095482269819042,0.09247113019227982,0.9971091747283936,0.9999058246612549,0.9997618794441223,0.9945732355117798,0.9994716048240662,0.001521986210718751,0.0009414229425601661,0.0001385257055517286,0.0009600663906894624,0.0678054690361023,-0.09815342724323273,-0.1739022582769394,5.472627639770508,4.29567813873291,4.7484941482543945,4.946342468261719,4.591724395751953,4.8795247077941895,5.4480390548706055,4.900157928466797,5.994483947753906,5.174310684204102,5.045138359069824,5.036810874938965,1.4643876552581787,1.1628766059875488,1.2774641513824463,1.3264368772506714,1.2481625080108643,1.3111873865127563,1.4671441316604614,1.3012778759002686,1.5754197835922241,1.4046452045440674,1.3539003133773804,1.3513065576553345
3,9.39513874053955,5.704885959625244,6.421926021575928,9.393524169921875,12.42678451538086,9.359357897623996,0.08347442746162415,0.9989252090454102,0.9995802044868469,0.9997511506080627,0.9980652332305908,0.9998505115509033,0.0004789987578988075,0.00031353882513940334,4.594677739078179e-05,0.0003279426018707454,0.04094093292951584,-0.09849990159273148,-0.1713547706604004,9.11599349975586,5.799286842346191,6.333849906921387,9.077014923095703,11.892081260681152,8.972993011253049,0.08097024261951447,0.9971596002578735,0.9986389875411987,0.9997116327285767,0.9947847723960876,0.9993743896484375,0.00149322091601789,0.0009342552511952817,0.00013793328253086656,0.0010026482632383704,0.05219453573226929,-0.09821941703557968,-0.17116394639015198,5.430563926696777,4.334094047546387,4.924657344818115,4.75140905380249,4.936374187469482,4.965236663818359,5.428062915802002,4.890695095062256,5.8868279457092285,5.282193660736084,5.083011627197266,5.06923770904541,1.8591452836990356,1.478468656539917,1.6395236253738403,1.6665334701538086,1.6147023439407349,1.67454993724823,1.8612090349197388,1.658102035522461,2.000088691711426,1.7902538776397705,1.7242577075958252,1.7205359935760498
4,9.292373657226562,5.761138439178467,6.394493103027344,9.271995544433594,12.164381980895996,9.267018486089796,0.08713531494140625,0.9991191625595093,0.9997537732124329,0.9997398257255554,0.9984493851661682,0.9998583197593689,0.0006281681708060205,0.00037574369343928993,5.477269951370545e-05,0.0003910161613021046,0.050094813108444214,-0.09848290681838989,-0.17578336596488953,8.687498092651367,5.643270492553711,6.117128849029541,8.626893997192383,11.126771926879883,8.636587845829947,0.10303626209497452,0.9969990253448486,0.9998378157615662,0.9997304677963257,0.9943050742149353,0.999560534954071,0.0017437338829040527,0.0009572190465405583,0.00014020726666785777,0.0009621695498935878,0.07857976108789444,-0.09774335473775864,-0.1857069730758667,5.72559928894043,4.524852752685547,4.966468334197998,5.04805326461792,4.7150983810424805,4.870572566986084,5.592826843261719,4.971127510070801,6.430638790130615,5.3436126708984375,5.2188849449157715,5.212099075317383,2.2418370246887207,1.7792017459869385,1.9682676792144775,2.0005862712860107,1.9199756383895874,1.990604281425476,2.2294955253601074,1.9853395223617554,2.429306745529175,2.141732692718506,2.0686347484588623,2.0645527839660645
5,9.063651084899902,5.754063606262207,6.2239766120910645,9.067206382751465,11.75699520111084,9.047070667787027,0.093203105032444,0.9992970824241638,0.999968409538269,0.9997645020484924,0.9987781047821045,0.9998468160629272,0.0007293505477719009,0.0004373527190182358,6.420618592528626e-05,0.00045021847472526133,0.04605719819664955,-0.09827448427677155,-0.17886550724506378,8.011940956115723,5.295679092407227,5.539006233215332,8.07181167602539,10.183164596557617,7.975318660285442,0.12370968610048294,0.9975060820579529,0.9995882511138916,0.9997108578681946,0.9950358867645264,0.9997238516807556,0.0017077605007216334,0.0010445017833262682,0.00015033908130135387,0.0009891284862533212,0.04921599477529526,-0.09690991044044495,-0.18528395891189575,5.866570949554443,4.609561920166016,5.218822956085205,5.168783187866211,5.096025466918945,5.191514492034912,5.854939937591553,5.100581169128418,7.216348171234131,5.621152400970459,5.494430065155029,5.493688106536865,2.597464084625244,2.0562098026275635,2.2862839698791504,2.3102166652679443,2.2309787273406982,2.304290533065796,2.5842714309692383,2.2895314693450928,2.8822929859161377,2.4820306301116943,2.4023571014404297,2.398216485977173
6,8.825369834899902,5.579642295837402,6.037121772766113,8.855818748474121,11.355324745178223,8.812542569676458,0.10122659802436829,0.9993942379951477,0.9999135136604309,0.9996212720870972,0.9990535974502563,0.9998202919960022,0.0008435120107606053,0.0004930826253257692,7.194561476353556e-05,0.00049875135300681,0.041526712477207184,-0.09822631627321243,-0.18336518108844757,7.537534236907959,4.798606872558594,5.148736000061035,7.659276962280273,9.549456596374512,7.509609396092106,0.14882639050483704,0.9984858632087708,0.9995568990707397,0.9998461008071899,0.9968339800834656,0.9998266696929932,0.002280981047078967,0.0011265550274401903,0.0001411373814335093,0.000926396285649389,0.06408612430095673,-0.09721473604440689,-0.1946922391653061,6.05974006652832,4.833737850189209,5.459506034851074,5.175499439239502,5.374091625213623,5.803609848022461,6.087623596191406,5.493484020233154,8.176607131958008,5.763541221618652,5.822743892669678,5.8357415199279785,2.9317398071289062,2.3240160942077637,2.5926737785339355,2.5851848125457764,2.5349607467651367,2.642399311065674,2.9226009845733643,2.5972273349761963,3.3729329109191895,2.7980833053588867,2.730181932449341,2.7266860008239746
7,8.437697410583496,5.182093143463135,5.730647087097168,8.532629013061523,10.753877639770508,8.428816103595674,0.11601801961660385,0.9995550513267517,0.9991309642791748,0.9998030066490173,0.9992445707321167,0.9999054670333862,0.0009963015327230096,0.0005666608922183514,7.957458001328632e-05,0.0005416044732555747,0.053498007357120514,-0.09795161336660385,-0.18913522362709045,6.700619220733643,4.133256912231445,4.5216450691223145,6.939612865447998,8.510099411010742,6.683218990687358,0.19166068732738495,0.9982377886772156,0.999369740486145,0.9997794032096863,0.9960435032844543,0.9997754693031311,0.003747473005205393,0.0013383184559643269,0.000139623909490183,0.0009318335214629769,0.10571922361850739,-0.0957677885890007,-0.20519335567951202,6.570070743560791,5.136204242706299,5.959211349487305,5.762242317199707,5.563669681549072,5.792836666107178,6.721651077270508,5.918584823608398,9.7421293258667,6.274936199188232,6.344153881072998,6.388868808746338,3.27825927734375,2.5899813175201416,2.91253662109375,2.8849544525146484,2.822108745574951,2.941981792449951,3.2850730419158936,2.910869836807251,3.955308198928833,3.127629041671753,3.0708701610565186,3.0699832439422607
8,7.936254978179932,4.6191864013671875,5.291568279266357,8.11922836303711,10.118886947631836,7.931005577839554,0.1338166743516922,0.9996562004089355,0.999209463596344,0.999767541885376,0.9994550347328186,0.999932050704956,0.0012809016043320298,0.0006559322355315089,8.677387813804671e-05,0.0005963115836493671,0.05205729603767395,-0.09751449525356293,-0.19094765186309814,6.046891212463379,3.575857162475586,3.9385948181152344,6.327334880828857,7.95334529876709,6.035232434245823,0.21920686960220337,0.9988493323326111,1.0,0.99970543384552,0.9972995519638062,0.9998780488967896,0.005797744728624821,0.001652162871323526,0.0001358145527774468,0.0009168662363663316,0.09195329993963242,-0.09441367536783218,-0.1884564757347107,7.319515705108643,5.747801303863525,6.479742527008057,6.452639579772949,6.629671096801758,6.41236686706543,7.432107925415039,6.6811442375183105,11.709492683410645,7.025568008422852,7.189005374908447,7.261079788208008,3.658952236175537,2.882505416870117,3.2450530529022217,3.216660737991333,3.1811976432800293,3.268561363220215,3.6734743118286133,3.261909008026123,4.667831897735596,3.4915964603424072,3.4547741413116455,3.458224058151245
9,7.404813766479492,4.111701488494873,4.813959121704102,7.660951137542725,9.532415390014648,7.401221481942407,0.15188121795654297,0.9997090697288513,0.999855101108551,0.9997071623802185,0.9995556473731995,0.9999565482139587,0.0018787749577313662,0.0007704404997639358,9.328572195954621e-05,0.000631592411082238,0.06895434111356735,-0.09689579159021378,-0.19256459176540375,5.606261253356934,3.2413289546966553,3.5220751762390137,5.839798450469971,7.587376594543457,5.5975285564701185,0.23049408197402954,0.9990045428276062,0.9998464584350586,0.9998389482498169,0.997497022151947,0.999864935874939,0.00836043618619442,0.0020857283379882574,0.00013293982192408293,0.0008631084347143769,0.13662327826023102,-0.09254484623670578,-0.19770300388336182,8.420177459716797,6.505507946014404,6.883791446685791,7.618663311004639,7.542662620544434,7.687791347503662,8.362344741821289,7.712825775146484,13.67068862915039,7.879876136779785,8.228433609008789,8.312973022460938,4.1029205322265625,3.2148942947387695,3.579359292984009,3.6238479614257812,3.5893137454986572,3.681666612625122,4.107677936553955,3.671875476837158,5.50452995300293,3.895077705383301,3.897116184234619,3.906348466873169
