step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,6.283659934997559,3.9302773475646973,4.358672142028809,6.2216668128967285,8.444787979125977,6.2756483554483955,0.08375642448663712,0.9992753267288208,0.999977171421051,0.9996490478515625,0.9988612532615662,0.999767541885376,0.00011975794768659398,8.81703817867674e-05,1.3211544683144893e-05,9.392425272380933e-05,0.11497297883033752,-0.08352158218622208,-0.17615580558776855,6.283660411834717,3.9302775859832764,4.358672142028809,6.221668243408203,8.444787979125977,6.275648353767271,0.08375642448663712,0.9992752075195312,0.9999772310256958,0.9996492266654968,0.9988614320755005,0.9997676014900208,0.0011975794332101941,0.0008817038615234196,0.00013211544137448072,0.0009392410865984857,0.11497296392917633,-0.08352158218622208,-0.17615579068660736,3.2703285217285156,2.9008266925811768,3.271184206008911,3.090830087661743,3.365307092666626,3.0673298835754395,3.31695818901062,3.1520802974700928,3.6752238273620605,3.88083815574646,3.299090623855591,3.269498825073242,0.3270328640937805,0.2900826632976532,0.3271184265613556,0.3090830147266388,0.3365307152271271,0.30673301219940186,0.3316958248615265,0.3152080476284027,0.36752235889434814,0.388083815574646,0.3299090564250946,0.3269498646259308
1,6.350331783294678,3.8300957679748535,4.325835227966309,6.3038458824157715,8.514741897583008,6.347432226665183,0.07477176189422607,0.9996556639671326,0.9998490214347839,0.9996951818466187,0.9995667338371277,0.9998136162757874,0.00023820740170776844,0.00017051390022970736,2.5726976673468016e-05,0.00018738710787147284,0.07520756125450134,-0.08352011442184448,-0.17527003586292267,6.26876974105835,3.7051429748535156,4.2424235343933105,6.241461753845215,8.320650100708008,6.261213003986439,0.08605056256055832,0.9992900490760803,0.9993021488189697,0.9996523261070251,0.99888014793396,0.9997974634170532,0.0013018398312851787,0.0009400040144100785,0.00014301008195616305,0.0010521479416638613,0.12445931136608124,-0.08203566074371338,-0.21449626982212067,3.6281466484069824,3.087118625640869,3.259974718093872,3.3717551231384277,3.0493128299713135,3.831278085708618,3.7770938873291016,3.271552562713623,3.7724521160125732,3.8549675941467285,3.4903652667999268,3.4595234394073486,0.6543323993682861,0.5678195357322693,0.6181027293205261,0.6121073961257935,0.6051879525184631,0.6569120287895203,0.6740424036979675,0.6084969639778137,0.7057934403419495,0.7329129576683044,0.6435707807540894,0.6375114321708679
2,6.540042400360107,3.876113176345825,4.383199214935303,6.529229164123535,8.60634708404541,6.538203690536259,0.0883847326040268,0.9997667074203491,0.9999542832374573,0.999660849571228,0.9997451901435852,0.9999411106109619,0.0003586529928725213,0.000251829216722399,3.7931862607365474e-05,0.00027071809745393693,0.07167015969753265,-0.08577299118041992,-0.16096638143062592,6.503823280334473,3.809025287628174,4.367556571960449,6.556807994842529,8.138004302978516,6.496978210473489,0.11964190751314163,0.9993919134140015,0.9990858435630798,0.9995923638343811,0.9990164637565613,0.9999246597290039,0.0016134753823280334,0.0010076187318190932,0.00015326337597798556,0.0011108055477961898,0.06744682788848877,-0.08692169189453125,-0.1983313113451004,4.301349639892578,3.4023072719573975,3.4105067253112793,3.9513936042785645,3.8215999603271484,4.277906894683838,4.1438493728637695,3.7820329666137695,5.147595405578613,4.297886848449707,4.053643226623535,4.035133361816406,1.0152812004089355,0.8488259315490723,0.8936770558357239,0.9430922865867615,0.9235637784004211,1.0160343647003174,1.01601243019104,0.922304093837738,1.1457973718643188,1.086509346961975,0.9811097383499146,0.9736188054084778
3,6.838978290557861,3.942443370819092,4.493834972381592,6.7759857177734375,8.983332633972168,6.837532185525382,0.08014646917581558,0.9998112916946411,0.999886691570282,0.9997251629829407,0.9997966885566711,0.9999393224716187,0.00045569808571599424,0.0003211669099982828,5.126436008140445e-05,0.0003759112150873989,0.05259152874350548,-0.0880948081612587,-0.16097770631313324,7.185304164886475,3.758403778076172,4.61191987991333,7.007961750030518,9.338151931762695,7.1780849326445075,0.08021721988916397,0.9993431568145752,0.9974140524864197,0.9997689723968506,0.9990129470825195,0.9996671080589294,0.0015769770834594965,0.0010035699233412743,0.0001774115808075294,0.0013226106530055404,0.04224724322557449,-0.09050748497247696,-0.18831601738929749,5.261312961578369,3.936727523803711,4.644336223602295,4.572107315063477,4.774149417877197,4.56809139251709,4.484810829162598,4.647468566894531,5.049612045288086,5.272157669067383,4.721077919006348,4.691030025482178,1.4339754581451416,1.152056336402893,1.2633987665176392,1.3005255460739136,1.3025094270706177,1.3665602207183838,1.3577148914337158,1.2884570360183716,1.5297715663909912,1.4986094236373901,1.3493579626083374,1.3394414186477661
4,6.9312825202941895,3.956484079360962,4.476687908172607,6.878381252288818,8.747559547424316,6.9295005629403335,0.09849751740694046,0.9997596740722656,0.9986211061477661,0.9997055530548096,0.999788224697113,0.9997978210449219,0.0005610333173535764,0.00039151785313151777,6.57644122838974e-05,0.0004925416433252394,0.03336804360151291,-0.08948347717523575,-0.1727764755487442,6.469176292419434,3.7442994117736816,4.230948448181152,6.423948764801025,7.464297294616699,6.464719061675128,0.14730599522590637,0.9996307492256165,0.9990860819816589,0.9997836351394653,0.9995333552360535,0.9996821880340576,0.0018596930895000696,0.0011270001996308565,0.00021107005886733532,0.001895367749966681,0.03321662172675133,-0.08853432536125183,-0.23488977551460266,5.380147933959961,3.572242021560669,5.510974884033203,5.173528671264648,5.734005928039551,5.470870494842529,5.917934894561768,5.443052291870117,6.678228855133057,6.617746829986572,5.549873352050781,5.543919563293457,1.8167223930358887,1.38042151927948,1.6754945516586304,1.6759127378463745,1.734027624130249,1.7669395208358765,1.8022630214691162,1.6914095878601074,2.0330517292022705,1.9975191354751587,1.7573760747909546,1.7477842569351196
5,6.986542701721191,4.030417442321777,4.462998390197754,6.976520538330078,8.295384407043457,6.9854505048285525,0.10680606216192245,0.9998424053192139,0.9991803765296936,0.9997426867485046,0.9998306035995483,0.9999408721923828,0.000682701007463038,0.00046512120752595365,8.482260454911739e-05,0.000676316733006388,0.043646439909935,-0.09094933420419693,-0.18090975284576416,6.07379150390625,3.9579312801361084,4.08062219619751,6.020500183105469,6.601375579833984,6.07082121366459,0.14081913232803345,0.9996805787086487,0.9997621178627014,0.9997372627258301,0.9994761347770691,0.999836802482605,0.0023250409867614508,0.001262498670257628,0.00027940739528276026,0.0033455602824687958,0.1464506983757019,-0.08689184486865997,-0.2322549968957901,8.568374633789062,5.450596809387207,6.754843711853027,7.1136474609375,6.893834114074707,6.526150226593018,8.810770988464355,6.923680305480957,8.692140579223633,7.822854042053223,7.355689525604248,7.329586029052734,2.4670069217681885,1.7682100534439087,2.163572311401367,2.1963419914245605,2.227930784225464,2.2230541706085205,2.4765615463256836,2.1950788497924805,2.6773247718811035,2.5557379722595215,2.295081853866577,2.2848494052886963
6,6.617712497711182,4.0952534675598145,4.329990386962891,6.699829578399658,7.293370723724365,6.616687396265577,0.1199868768453598,0.9998328685760498,0.9998993873596191,0.9996534585952759,0.9997997879981995,0.9999348521232605,0.0008862986578606069,0.0005469177849590778,0.00011048680607927963,0.0012068337528035045,0.053793035447597504,-0.09055747836828232,-0.2093460112810135,5.12241268157959,3.9376707077026367,3.6491079330444336,5.097126007080078,5.325995445251465,5.121198914595437,0.15874221920967102,0.9998071789741516,0.9999586939811707,0.9997673630714417,0.9996945261955261,0.9998773336410522,0.002532513812184334,0.0015381748089566827,0.0003646710829343647,0.006726807449012995,0.08557003736495972,-0.08150927722454071,-0.2728186547756195,9.774616241455078,7.292771339416504,7.759255409240723,7.73744535446167,8.433027267456055,9.726227760314941,10.599043846130371,8.475939750671387,12.139850616455078,10.336492538452148,9.22746753692627,9.169901847839355,3.162663459777832,2.2918028831481934,2.6951327323913574,2.719562292098999,2.812244176864624,2.940382480621338,3.249800205230713,2.7939581871032715,3.588566541671753,3.29617977142334,2.955029249191284,2.9428162574768066
7,5.790262699127197,4.223752021789551,4.118447303771973,5.998018741607666,5.957085132598877,5.789611664135705,0.14111967384815216,0.9998120069503784,0.9991029500961304,0.9996859431266785,0.9998265504837036,0.9998334050178528,0.001030385377816856,0.0006620290223509073,0.0001520581281511113,0.002091720700263977,0.022398240864276886,-0.0879707932472229,-0.25440865755081177,3.7402918338775635,3.6565115451812744,3.0534396171569824,3.6909568309783936,3.8008828163146973,3.739295670994867,0.20157769322395325,0.9996547698974609,0.9999121427536011,0.9997633099555969,0.9997459053993225,0.9996092319488525,0.0028525167144834995,0.002221739385277033,0.0005966741009615362,0.014055038802325726,0.110158771276474,-0.06140773743391037,-0.3874813914299011,14.082012176513672,10.49314022064209,10.076038360595703,9.697074890136719,9.671760559082031,14.69332504272461,16.326492309570312,10.95008373260498,15.758807182312012,14.566373825073242,12.631510734558105,12.448356628417969,4.188411235809326,3.055622100830078,3.3762052059173584,3.3647804260253906,3.43757700920105,4.0533270835876465,4.499618053436279,3.561293363571167,4.740789413452148,4.35883903503418,3.8636462688446045,3.84500789642334
8,5.36308479309082,3.952655553817749,3.8877859115600586,5.611400127410889,5.411785125732422,5.361527195728435,0.151933953166008,0.9996848106384277,0.9994567036628723,0.9997474551200867,0.9998229742050171,0.9996147155761719,0.0011739841429516673,0.0008041217806749046,0.0002018428931478411,0.005041439086198807,0.029541408643126488,-0.08590303361415863,-0.26281020045280457,3.351515293121338,2.8128180503845215,2.5704150199890137,3.32312273979187,3.389198064804077,3.3499914890354456,0.18709225952625275,0.9994670748710632,0.9992613196372986,0.9996135830879211,0.9997084140777588,0.9993920922279358,0.0039612348191440105,0.0025228853337466717,0.0007863868959248066,0.015607714653015137,0.17280709743499756,-0.044483743607997894,-0.3912128210067749,20.281818389892578,13.359261512756348,17.071212768554688,14.074457168579102,11.084839820861816,17.669565200805664,18.619747161865234,13.774559020996094,20.737037658691406,18.687353134155273,16.535985946655273,16.120622634887695,5.703310489654541,4.005603313446045,4.652177810668945,4.324540138244629,4.12237024307251,5.334534168243408,5.830252647399902,4.493676662445068,6.2279791831970215,5.692132949829102,5.0386576652526855,5.0101318359375
9,5.9491424560546875,3.3711867332458496,3.8945679664611816,6.019623756408691,6.099854469299316,5.948567969151294,0.1488167941570282,0.9998714327812195,0.9994550347328186,0.9997029900550842,0.9997929334640503,0.9999197721481323,0.0013352608075365424,0.0008912300691008568,0.00023913402401376516,0.004971357062458992,0.030037254095077515,-0.09040773659944534,-0.2480563521385193,4.306775093078613,1.8010590076446533,2.967736005783081,4.188718795776367,4.369832992553711,4.305231477348865,0.1631556749343872,0.9996609091758728,0.9998698234558105,0.9996609687805176,0.999652624130249,0.9996620416641235,0.004890653770416975,0.0025434677954763174,0.0009380218689329922,0.010526935569941998,0.14426946640014648,-0.0660833939909935,-0.46898195147514343,28.388731002807617,18.198944091796875,21.909198760986328,22.102970123291016,15.71385669708252,26.03057289123535,24.397207260131836,21.000595092773438,22.547611236572266,26.96495819091797,22.7254638671875,22.429269790649414,7.843960285186768,5.335464954376221,6.263795375823975,5.979504585266113,5.164709568023682,7.277702331542969,7.557293891906738,6.025816917419434,7.762848377227783,7.714981555938721,6.692607879638672,6.672699451446533
